sale_date,category,product,variety,packaging,level,size,weight,quantity,today_highest_price,today_lowest_price,today_average_price
2024. 10. 23,,사과,K-1,,보1,없음,20,21,62200,59900,61981
2024. 10. 23,,사과,K-1,,상1,없음,20,26,91400,88100,88735
2024. 10. 23,,사과,K-1,,상2,없음,20,28,93300,92300,92443
2024. 10. 23,,사과,K-1,,상3,없음,20,7,87000,83600,85057
2024. 10. 23,,사과,K-1,,특3,없음,20,9,134000,126900,129267
2024. 10. 23,,사과,K-1,,특4,없음,20,40,133000,110900,121398
2024. 10. 23,,사과,K-1,,특5,없음,20,25,114500,105500,112340
2024. 10. 23,,사과,K-1,,특6,없음,20,9,108000,105500,107722
2024. 10. 23,,사과,K-1,,특7,없음,20,2,102500,102500,102500
2024. 10. 23,,사과,K-1,,특8,없음,20,1,96000,96000,96000
2024. 10. 23,,사과,감홍,,등외,없음,20,13,70000,22000,50831
2024. 10. 23,,사과,감홍,,보1,없음,20,304,79300,16900,46291
2024. 10. 23,,사과,감홍,,상1,없음,20,445,135900,62900,106799
2024. 10. 23,,사과,감홍,,상2,없음,20,361,123900,60000,108001
2024. 10. 23,,사과,감홍,,상3,없음,20,76,103000,23000,87487
2024. 10. 23,,사과,감홍,,특2,없음,20,7,126000,116000,118857
2024. 10. 23,,사과,감홍,,특3,없음,20,132,173900,103000,133313
2024. 10. 23,,사과,감홍,,특4,없음,20,242,175300,96300,140186
2024. 10. 23,,사과,감홍,,특5,없음,20,183,160000,98100,137596
2024. 10. 23,,사과,감홍,,특6,없음,20,113,160000,93000,127536
2024. 10. 23,,사과,감홍,,특7,없음,20,48,119000,90000,112619
2024. 10. 23,,사과,감홍,,특8,없음,20,19,95000,87900,91989
2024. 10. 23,,사과,루비에스,,없음,없음,10,4,17600,17600,17600
2024. 10. 23,,사과,미시마,,등외,없음,20,14,66600,62900,64750
2024. 10. 23,,사과,미시마,,보1,없음,20,64,48900,38900,42488
2024. 10. 23,,사과,미시마,,상1,없음,20,22,86600,84900,85700
2024. 10. 23,,사과,미시마,,상2,없음,20,39,90100,89200,89746
2024. 10. 23,,사과,미시마,,상3,없음,20,17,87200,85200,85988
2024. 10. 23,,사과,미시마,,특3,없음,20,4,119900,95000,108600
2024. 10. 23,,사과,미시마,,특4,없음,20,32,109000,99800,103856
2024. 10. 23,,사과,미시마,,특5,없음,20,70,109000,103900,105534
2024. 10. 23,,사과,미시마,,특6,없음,20,61,107500,101500,103475
2024. 10. 23,,사과,미시마,,특7,없음,20,41,100100,98000,99849
2024. 10. 23,,사과,미시마,,특8,없음,20,16,95500,91300,93875
2024. 10. 23,,사과,미안마,,등외,없음,20,82,80000,59900,66710
2024. 10. 23,,사과,미안마,,보1,없음,20,546,66600,10000,31455
2024. 10. 23,,사과,미안마,,상1,없음,20,243,92200,25000,77693
2024. 10. 23,,사과,미안마,,상2,없음,20,287,95900,12300,89025
2024. 10. 23,,사과,미안마,,상3,없음,20,89,87900,11700,80404
2024. 10. 23,,사과,미안마,,특3,없음,20,28,128900,91900,109575
2024. 10. 23,,사과,미안마,,특4,없음,20,290,117100,93000,104186
2024. 10. 23,,사과,미안마,,특5,없음,20,468,114900,97000,106205
2024. 10. 23,,사과,미안마,,특6,없음,20,366,109100,90000,104734
2024. 10. 23,,사과,미안마,,특7,없음,20,216,103500,94600,100063
2024. 10. 23,,사과,미안마,,특8,없음,20,95,96100,85900,93187
2024. 10. 23,,사과,미야비,,보1,없음,20,2,55500,49000,52250
2024. 10. 23,,사과,미야비,,상1,없음,20,2,87900,87900,87900
2024. 10. 23,,사과,미야비,,상2,없음,20,7,90100,89900,90014
2024. 10. 23,,사과,미야비,,특3,없음,20,1,117000,117000,117000
2024. 10. 23,,사과,미야비,,특4,없음,20,9,107500,107000,107222
2024. 10. 23,,사과,미야비,,특5,없음,20,19,110300,108900,109858
2024. 10. 23,,사과,미야비,,특6,없음,20,13,106500,102500,103423
2024. 10. 23,,사과,미야비,,특7,없음,20,5,101000,101000,101000
2024. 10. 23,,사과,미야비,,특8,없음,20,1,94600,94600,94600
2024. 10. 23,,사과,시나노골드,,등외,없음,20,27,46600,36900,43574
2024. 10. 23,,사과,시나노골드,,보1,없음,20,37,36100,10000,27668
2024. 10. 23,,사과,시나노골드,,상1,없음,20,84,63300,44900,53564
2024. 10. 23,,사과,시나노골드,,상2,없음,20,108,65100,39000,58445
2024. 10. 23,,사과,시나노골드,,상3,없음,20,39,55900,31200,46605
2024. 10. 23,,사과,시나노골드,,특2,없음,20,1,55000,55000,55000
2024. 10. 23,,사과,시나노골드,,특3,없음,20,30,79300,58900,65733
2024. 10. 23,,사과,시나노골드,,특4,없음,20,204,88000,56900,70211
2024. 10. 23,,사과,시나노골드,,특5,없음,20,328,76900,58000,68666
2024. 10. 23,,사과,시나노골드,,특6,없음,20,237,69900,54100,64986
2024. 10. 23,,사과,시나노골드,,특7,없음,20,107,61600,45000,60007
2024. 10. 23,,사과,시나노골드,,특8,없음,20,40,59500,42000,56928
